"municipio","CP"
"Abenójar","13180"
"Agudo","13410"
"Alamillo","13413"
"Albaladejo","13340"
"Alcázar de San Juan","13600"
"Alcoba","13116"
"Alcolea de Calatrava","13107"
"Alcubillas","13391"
"Aldea del Rey","13380"
"Alhambra","13248"
"Almadén","13400"
"Almadenejos","13480"
"Almagro","13270"
"Almedina","13328"
"Almodóvar del Campo","13580"
"Almuradiel","13760"
"Anchuras","13117"
"Arenales de San Gregorio","13619"
"Arenas de San Juan","13679"
"Argamasilla de Alba","13710"
"Argamasilla de Calatrava","13440"
"Arroba de los Montes","13193"
"Ballesteros de Calatrava","13432"
"Bolaños de Calatrava","13260"
"Brazatortas","13450"
"Cabezarados","13192"
"Cabezarrubias del Puerto","13591"
"Calzada de Calatrava","13370"
"Campo de Criptana","13610"
"Cañada de Calatrava","13430"
"Caracuel de Calatrava","13433"
"Carrión de Calatrava","13150"
"Carrizosa","13329"
"Castellar de Santiago","13750"
"Chillón","13412"
"Ciudad Real","13001-005"
"Corral de Calatrava","13190"
"Cortijos (Los)","13427"
"Cózar","13345"
"Daimiel","13250"
"Fernán Caballero","13140"
"Fontanarejo","13193"
"Fuencaliente","13130"
"Fuenllana","13333"
"Fuente el Fresno","13680"
"Granátula de Calatrava","13360"
"Guadalmez","13490"
"Herencia","13640"
"Hinojosas de Calatrava","13590"
"Horcajo de los Montes","13110"
"Labores (Las)","13660"
"Llanos del Caudillo","13220"
"Luciana","13108"
"Malagón","13420"
"Manzanares","13200"
"Membrilla","13230"
"Mestanza","13592"
"Miguelturra","13170"
"Montiel","13326"
"Moral de Calatrava","13350"
"Navalpino","13193"
"Navas de Estena","13194"
"Pedro Muñoz","13620"
"Picón","13196"
"Piedrabuena","13100"
"Poblete","13195"
"Porzuna","13120"
"Pozuelo de Calatrava","13179"
"Pozuelos de Calatrava (Los)","13191"
"Puebla de Don Rodrigo","13109"
"Puebla del Príncipe","13342"
"Puerto Lápice","13650"
"Puertollano","13500"
"Retuerta del Bullaque","13194"
"Robledo (El)","13114"
"Ruidera","13249"
"Saceruela","13414"
"San Carlos del Valle","13247"
"San Lorenzo de Calatrava","13779"
"Santa Cruz de los Cáñamos","13327"
"Santa Cruz de Mudela","13730"
"Socuéllamos","13630"
"Solana (La)","13240"
"Solana del Pino","13593"
"Terrinches","13341"
"Tomelloso","13700"
"Torralba de Calatrava","13160"
"Torre de Juan Abad","13344"
"Torrenueva","13740"
"Valdemanco del Esteras","13411"
"Valdepeñas","13300"
"Valenzuela de Calatrava","13279"
"Villahermosa","13332"
"Villamanrique","13343"
"Villamayor de Calatrava","13595"
"Villanueva de la Fuente","13330"
"Villanueva de los Infantes","13320"
"Villanueva de San Carlos","13379"
"Villar del Pozo","13431"
"Villarrubia de los Ojos","13670"
"Villarta de San Juan","13210"
"Viso del Marqués","13770"